iter	Passed	Remaining
0	0	64
1	1	74
2	2	65
3	2	64
4	3	70
5	4	69
6	5	67
7	5	64
8	6	63
9	6	60
10	7	61
11	8	62
12	9	61
13	10	61
14	10	61
15	11	61
16	12	62
17	13	62
18	14	60
19	15	60
20	15	58
21	16	57
22	16	55
23	16	53
24	17	51
25	17	50
26	17	48
27	18	47
28	18	45
29	19	45
30	19	43
31	20	42
32	20	41
33	21	41
34	21	40
35	22	39
36	22	38
37	23	37
38	23	36
39	23	35
40	24	34
41	24	33
42	24	32
43	25	32
44	25	31
45	25	30
46	26	29
47	26	28
48	27	28
49	27	27
50	27	26
51	28	26
52	28	25
53	29	24
54	29	24
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	33	17
66	34	16
67	35	16
68	35	15
69	36	15
70	36	14
71	36	14
72	37	13
73	37	13
74	37	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	43	5
89	44	4
90	44	4
91	45	3
92	45	3
93	46	2
94	46	2
95	46	1
96	47	1
97	47	0
98	48	0
99	48	0
